model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_1_AutoML_1_20250819_222237,0.9870527222222222,0.1401992007278273,0.9881139623666866,0.0641666666666666,0.212977440360453,0.0453593901024903
GBM_4_AutoML_1_20250819_222237,0.9865688888888888,0.1418486324087289,0.98766221786692,0.0645,0.2150811423289222,0.0462598977855141
GBM_2_AutoML_1_20250819_222237,0.9865677777777778,0.143250217291265,0.9876355323688744,0.065,0.2155390965585811,0.0464571021452893
GBM_3_AutoML_1_20250819_222237,0.9865117777777778,0.1428740636705216,0.9876142383955868,0.0653333333333333,0.215495098333317,0.0464381374056859
GBM_grid_1_AutoML_1_20250819_222237_model_4,0.9864931666666666,0.1439599883116931,0.9876093266761752,0.0643333333333333,0.2155217017900328,0.0464496039424718
GBM_grid_1_AutoML_1_20250819_222237_model_1,0.9863128333333334,0.1450530036275333,0.9874333303454058,0.0653333333333333,0.2165681974899171,0.0469017841640317
XRT_1_AutoML_1_20250819_222237,0.9862913888888888,0.1488915182594641,0.987446698438576,0.065,0.215965376314223,0.0466410437665439
GBM_5_AutoML_1_20250819_222237,0.9862299444444445,0.1447411995756084,0.987358996151782,0.0645,0.217007433054957,0.0470922260011016
GBM_grid_1_AutoML_1_20250819_222237_model_2,0.9861520555555556,0.1451699241570433,0.9873818497543428,0.066,0.2164399347987901,0.0468462453757045
DRF_1_AutoML_1_20250819_222237,0.9858363333333332,0.1602090308423018,0.9871363164188458,0.0653333333333333,0.2173749592664765,0.0472518729161023
GBM_grid_1_AutoML_1_20250819_222237_model_3,0.9856328888888888,0.1499278199607791,0.9868821864772684,0.0656666666666666,0.218883254883341,0.0479098792683256
GLM_1_AutoML_1_20250819_222237,0.9840862222222222,0.1633816571625404,0.9850886484069794,0.0688333333333333,0.2267574341530903,0.051418933943693
